number of segments,tendon segment span,ventral curvature
15,1,58.99659906925305
15,2,92.28105346083063
15,3,128.84591793717115
15,4,173.30510822602318
15,5,193.73681316579427
15,6,198.1376133310602
15,7,180.46482670273238
15,8,159.1151853196466
15,9,137.54271584507833
15,10,116.048383734615
15,11,93.51224970023881
16,1,58.987508087467766
16,2,92.37175837300842
16,3,128.90483514895166
16,4,179.96198817603604
16,5,203.18147580668284
16,6,214.83357362504952
16,7,201.75105660956376
16,8,180.60853388286947
16,9,159.13537535883316
16,10,137.56272829934647
16,11,116.08581317126666
17,2,92.19101790719154
17,3,128.57230055902042
17,4,183.7294932014584
17,5,212.06384995433928
17,6,226.0733056024658
17,7,222.88874356232571
17,8,201.89077495922555
17,9,180.7513121572794
17,10,159.15553807726303
17,11,137.56305614842663
18,2,92.16696198093476
18,3,128.5509357272966
18,4,186.57534616065757
18,5,223.5345106275937
18,6,236.4943711059644
18,7,240.96303603082356
18,8,223.30789861131106
18,9,202.5752555367092
18,10,181.0794617657635
18,11,159.19906004265437
19,2,91.92879328457641
19,3,128.05518693695876
19,4,187.39823369148235
19,5,237.4687658929584
19,6,248.87712158060398
19,7,256.11679425173736
19,8,244.58593229113842
19,9,224.79436634075927
19,10,203.46486035534667
19,11,181.40617703452187
20,2,91.85095644879493
20,3,127.90246390711728
20,4,187.09901676432244
20,5,254.04000693270325
20,6,262.35152752990837
20,7,269.3031847841206
20,8,265.2342498502473
20,9,246.60225877563954
20,10,225.79172422374285
20,11,204.13182832779842
21,2,91.73364111961081
21,3,127.40511685251363
21,4,185.79286602896255
21,5,274.12647313068686
21,6,278.62207632163256
21,7,282.5222782622499
21,8,282.5751985679392
21,9,267.98269065150373
21,10,247.36095618864454
21,11,226.92356853148402
22,2,91.76846142399953
22,3,127.49765225538897
22,4,185.0635247690103
22,5,293.4371118012271
22,6,295.6876318119896
22,7,296.2051962265365
22,8,298.0513417176776
22,9,289.13906500183487
22,10,269.3266806348655
22,11,249.26283602341294
23,2,91.56263367336119
23,3,127.18019872314511
23,4,183.98570725760393
23,5,313.1214984231504
23,6,313.4278733885605
23,7,311.50919128843384
23,8,312.18712854469265
23,9,306.8773668046814
23,10,291.0256178921057
23,11,270.5799383852928
24,2,91.58952412812354
24,3,127.12748332313096
24,4,183.0042773757648
24,5,329.3148660772535
24,6,329.79095758316004
24,7,326.98762938173337
24,8,326.2775355948622
24,9,323.42003033293895
24,10,312.3429114992823
24,11,293.2376156359494
25,2,91.40821675660555
25,3,126.81033031921059
25,4,181.75738536164397
25,5,345.7445036351256
25,6,346.12256826606415
25,7,342.5239328376812
25,8,340.54041858195285
25,9,338.5222616067541
25,10,330.1218939088255
25,11,315.53566976642645
26,2,91.41593487036765
26,3,126.70285046243126
26,4,179.94718032591544
26,5,360.03077318993445
26,6,360.1980308623297
26,7,355.953560066787
26,8,353.8492880665328
26,9,352.4556289475267
26,10,347.2377469122305
26,11,337.11884897761325
27,2,91.26773342575672
27,3,126.36332175878992
27,4,179.68110347660843
27,5,371.8479566805403
27,6,372.4689574798779
27,7,369.6847264873705
27,8,367.1140072083178
27,9,366.1608133285075
27,10,363.6726573761419
27,11,355.0199278487596
28,2,91.27009667120954
28,3,126.23018771148803
28,4,177.7014960890853
28,5,381.78014456400604
28,6,382.8785209448141
28,7,380.87044532883033
28,8,378.622903280546
28,9,378.3969059812886
28,10,377.3974853811756
28,11,369.9013254463299
29,2,91.00190246325982
29,3,125.7433591482062
29,4,178.07133717226316
29,5,390.85350446123437
29,6,392.621212059947
29,7,390.9173803903523
29,8,389.38482254438486
29,9,389.60699493770704
29,10,390.50278790773257
29,11,386.9119388950034
30,3,125.45154614610657
30,4,176.01949370407795
30,5,398.2836301271843
30,6,400.3323317083513
30,7,399.6200795817023
30,8,398.416354363136
30,9,398.94700542013265
30,10,401.94488472987797
