number of segments,tendon segment span,ventral curvature
15,1,13.170681951065912
15,2,22.34295579408073
15,3,30.37169972945815
15,4,37.862542362034965
15,5,45.235383231416066
15,6,49.68927445710051
15,7,49.27108929497731
15,8,41.78200202101718
15,9,34.33075741015351
15,10,26.73588416632823
15,11,18.726020581364015
16,1,13.2311581535245
16,2,22.320822566075307
16,3,30.43948594187594
16,4,37.98910918244989
16,5,45.39959805453609
16,6,52.78013313201721
16,7,54.54934337234727
16,8,49.491479008926106
16,9,41.8912372364132
16,10,34.3984992263417
16,11,26.746293374623328
17,1,13.216361402461313
17,2,22.28654867682018
17,3,30.37199001249788
17,4,38.04015801630656
17,5,45.49436009908085
17,6,53.07672385144126
17,7,58.83356928395401
17,8,57.86388049729814
17,9,49.6337689248104
17,10,41.976580450092506
17,11,34.45609138142324
18,1,13.194696042414034
18,2,22.225309200721846
18,3,30.349566501452724
18,4,38.032542355382
18,5,45.59974308778498
18,6,53.131771761056974
18,7,60.73291511854033
18,8,63.77317575208558
18,9,58.09565613659334
18,10,49.794790634493445
18,11,42.05735426721708
19,1,13.192593197923316
19,2,22.162000177304996
19,3,30.318072499189796
19,4,37.99765374910158
19,5,45.64006852464473
19,6,53.19836610546459
19,7,60.832854446475956
19,8,68.27614188695657
19,9,67.04005523210267
19,10,58.236583429738225
19,11,49.884392471120265
20,1,13.141527288593714
20,2,22.097847625525652
20,3,30.263092891465778
20,4,37.96536744489492
20,5,45.57364835006094
20,6,53.32923252996204
20,7,60.94837343590838
20,8,68.51237080959062
20,9,73.45283105136843
20,10,67.25140860577955
20,11,58.40074019625031
21,1,13.110560064670523
21,2,22.050464895705982
21,3,30.20419275515817
21,4,37.89636887389946
21,5,45.55089015974646
21,6,53.337210190912614
21,7,61.05168687729399
21,8,68.57060500245414
21,9,76.11816211080418
21,10,76.65896282890743
21,11,67.37086861436308
22,1,13.06176775456089
22,2,21.994223410532808
22,3,30.168385488434378
22,4,37.87844645751735
22,5,45.5254852711286
22,6,53.319977623636674
22,7,61.14763737475433
22,8,68.65178863092893
22,9,76.18005045487367
22,10,83.11254902846403
22,11,76.90691918634641
23,1,13.037553026405904
23,2,21.945457567406205
23,3,30.12907774976096
23,4,37.847836964751934
23,5,45.47767736203309
23,6,53.27002503514179
23,7,61.15668054521543
23,8,68.72293871151294
23,9,76.21818340100984
23,10,83.79084145455965
23,11,86.25237332954055
24,1,12.99836823113754
24,2,21.894220903347357
24,3,30.07839774611946
24,4,37.825430529179705
24,5,45.44065432163704
24,6,53.23547110813069
24,7,61.10758514546138
24,8,68.82400502066163
24,9,76.28827480227251
24,10,83.84443794897675
24,11,91.39910528425276
25,1,12.975798724798878
25,2,21.84633615462369
25,3,30.03400834670355
25,4,37.77097343092719
25,5,45.389335695308155
25,6,53.17922450031564
25,7,61.06907653892085
25,8,68.8433481163911
25,9,76.34829167450941
25,10,83.87011946025599
25,11,91.45982566597415
26,1,12.930000598866652
26,2,21.793924698027595
26,3,29.983379569480828
26,4,37.73982776831193
26,5,45.37314131678605
26,6,53.146856233838946
26,7,61.058783443841634
26,8,68.8213890582095
26,9,76.443729907782
26,10,83.94424067312897
26,11,91.50510298998216
27,1,12.90357032809964
27,2,21.757055336887866
27,3,29.938283245485824
27,4,37.69216670828359
27,5,45.33901769169266
27,6,53.0796983988248
27,7,61.019093214574696
27,8,68.77549701717619
27,9,76.468236626524
27,10,84.00598558322588
27,11,91.5391924641297
28,1,12.85339917355131
28,2,21.724818551552698
28,3,29.898046601085277
28,4,37.67475655608922
28,5,45.31569942586624
28,6,53.08144351215773
28,7,60.99541977891143
28,8,68.76928154503148
28,9,76.46517670177585
28,10,84.1046749865434
28,11,91.61093677117152
29,1,12.834739096738836
29,2,21.683501029716
29,3,29.870179429271623
29,4,37.622328024020206
29,5,45.27903497040161
29,6,53.04166449043158
29,7,60.94991022847164
29,8,68.74548516596316
29,9,76.46396775829275
29,10,84.11134808136251
29,11,91.68275621029422
30,1,12.789516414244183
30,2,21.65384093324522
30,3,29.835307898464123
30,4,37.61763226896582
30,5,45.264613025969126
30,6,53.03474892389694
30,7,60.924392641732474
30,8,68.75286860045594
30,9,76.48259368415937
30,10,84.1323714036278
30,11,91.7615219518028
