number of segments,tendon segment span,ventral curvature
15,1,28.183074892954284
15,2,45.40484705491325
15,3,61.02137449775748
15,4,76.48373432575076
15,5,91.43949219281504
15,6,105.7939816770539
15,7,107.78996785820674
15,8,91.77224534879971
15,9,76.1042831664107
15,10,60.5249017073676
15,11,44.75858821602498
16,1,28.100333981348747
16,2,45.39305814840581
16,3,61.023191328076706
16,4,76.7775485732772
16,5,92.06054080347678
16,6,106.77852612515457
16,7,118.95288069802791
16,8,108.26885291148383
16,9,92.06963861545124
16,10,76.31872378559243
16,11,60.65207299952406
17,1,28.033876240724524
17,2,45.279933140277464
17,3,60.92142150944351
17,4,76.54784931148967
17,5,92.46089917186626
17,6,107.52247715974153
17,7,121.43957498991114
17,8,126.301576848693
17,9,108.42658930017613
17,10,92.11314009027505
17,11,76.34651582532521
18,1,27.997286917340766
18,2,45.199931134529116
18,3,60.83853033367623
18,4,76.59010769188454
18,5,92.7419546260231
18,6,108.3683755978801
18,7,122.37397218912555
18,8,136.12404457333164
18,9,126.7768214111425
18,10,108.76211551296383
18,11,92.34398682384314
19,1,27.941796752976288
19,2,45.071045464890965
19,3,60.73681515655641
19,4,76.48144621237881
19,5,92.55269691431123
19,6,108.90302914573037
19,7,123.56917333160774
19,8,136.82846930319175
19,9,145.5739527995028
19,10,126.92179900646518
19,11,108.8242360834651
20,1,27.840477726828322
20,2,45.03749899078245
20,3,60.735845269694266
20,4,76.4475548137172
20,5,92.59404687954647
20,6,109.2478853969243
20,7,124.87787855771721
20,8,138.07680931741666
20,9,151.36419102686776
20,10,145.92951878731532
20,11,127.28393563625926
21,1,27.734572228652688
21,2,44.93854662518189
21,3,60.63482677186978
21,4,76.28563834925289
21,5,92.48938106070521
21,6,109.27659951219503
21,7,125.8604149302019
21,8,139.89006061751496
21,9,152.12521070419058
21,10,163.9229964575536
21,11,146.02652113390786
22,1,27.65540350598307
22,2,44.886015640275325
22,3,60.60957556250824
22,4,76.248120120142
22,5,92.4507768315163
22,6,109.35932676342223
22,7,126.5422180735309
22,8,141.8618952497626
22,9,153.95735430753314
22,10,166.56857460990966
22,11,164.19433255252153
23,1,27.60013532276662
23,2,44.763700612618734
23,3,60.492424157864185
23,4,76.17612992629007
23,5,92.2737724791754
23,6,109.110837651228
23,7,126.67624004542488
23,8,142.9207794767897
23,9,156.09117370613683
23,10,167.5948788345958
23,11,180.6144898078257
24,1,27.53201613862679
24,2,44.724645590944604
24,3,60.45826638182495
24,4,76.16966173714607
24,5,92.22634364557885
24,6,109.09971810325922
24,7,126.67205996965284
24,8,143.93689305923417
24,9,157.5358270174862
24,10,169.9166240580232
24,11,181.6697403742143
25,1,27.434848159946895
25,2,44.62793694248639
25,3,60.3924506789827
25,4,76.04265436952967
25,5,92.1529464327579
25,6,108.89537250367077
25,7,126.49794478733088
25,8,144.21805096622856
25,9,158.6682314007393
25,10,171.83734155452248
25,11,183.4933735618511
26,1,27.368235032519053
26,2,44.604615261565385
26,3,60.38426811235703
26,4,76.04299587898818
26,5,92.16157296167961
26,6,109.04866243921337
26,7,126.4297248579008
26,8,144.3809646383117
26,9,159.65276218846162
26,10,173.26047976998632
26,11,185.6536940944344
27,1,27.31224455679788
27,2,44.51342882105113
27,3,60.30573459728022
27,4,75.91758677563757
27,5,92.07368891762906
27,6,108.91181959919216
27,7,126.28851752699994
27,8,144.3522641834193
27,9,160.14661218621023
27,10,175.52726929135184
27,11,187.47959490487557
28,1,27.242684202743174
28,2,44.51156417940771
28,3,60.296855351359206
28,4,75.91064730344085
28,5,92.04315797203911
28,6,108.97076413172937
28,7,126.3789082504759
28,8,144.47332245626862
28,9,160.82834702764754
28,10,178.03556064139062
28,11,190.8318107683828
29,1,27.169447499367713
29,2,44.438470910004824
29,3,60.22291855359382
29,4,75.81534567395165
29,5,91.83881920263984
29,6,108.66458041161604
29,7,126.21288001213122
29,8,144.52978079994793
29,9,161.162015428981
29,10,180.37942201735055
29,11,194.94762812071912
30,1,27.116723561617093
30,2,44.418410644412496
30,3,60.20481172210412
30,4,75.80076322007368
30,5,91.76437014068668
30,6,108.57520738632641
30,7,126.03943418834793
30,8,144.4293223776354
30,9,161.53290836129105
30,10,179.82274793961616
30,11,199.12874208152076
